elapsed_s,rpm,state,crank_deg
0.4143664836883545,851,STRIKE,0.0
0.4827616214752197,851,STRIKE,9.979977668456312
0.5329253673553467,851,STRIKE,11.627268109681472
0.5831141471862793,851,STRIKE,12.835457196775472
0.6322541236877441,851,STRIKE,14.044249224212933
0.6813883781433105,851,STRIKE,15.227780922403873
0.7315032482147217,851,STRIKE,16.411174805659165
0.7818107604980469,928,STRIKE,17.618186723511172
0.8319218158721924,928,STRIKE,18.939470819707186
0.8820326328277588,928,STRIKE,20.25559514198663
0.9310882091522217,928,STRIKE,21.571713202404524
0.9801583290100098,928,STRIKE,22.860116263605512
1.0292861461639404,928,STRIKE,24.148901298361004
1.079491376876831,928,STRIKE,25.43920170361141
1.1297025680541992,1646,STRIKE,26.7577994612028
1.1790742874145508,1646,STRIKE,29.096883065295668
1.2293987274169922,1646,STRIKE,31.396859953988272
1.2795982360839844,1646,STRIKE,33.74121924391333
1.3298068046569824,1646,STRIKE,36.07975861936245
1.3792035579681396,1646,STRIKE,38.41872004967815
1.429488182067871,1646,STRIKE,40.719863142607345
1.479651689529419,1633,STRIKE,43.062367612460875
1.5390145778656006,1633,STRIKE,45.38077349032996
1.5894784927368164,1633,STRIKE,48.12434698050877
1.6391844749450684,1633,STRIKE,50.456636781962416
1.6886556148529053,1633,STRIKE,52.753897223832475
1.7383265495300293,1633,STRIKE,55.04030396353524
1.787890911102295,1633,STRIKE,57.33594461432043
1.8385465145111084,1639,STRIKE,59.6266597779292
1.8882317543029785,1639,STRIKE,61.976410739826704
1.938551902770996,1639,STRIKE,64.28114964602128
1.9877040386199951,1639,STRIKE,66.6153399292028
2.037851095199585,1639,STRIKE,68.89534985344363
2.088131904602051,1639,STRIKE,71.2215109591214
2.1383490562438965,1639,STRIKE,73.5538764292339
2.1874399185180664,1645,STRIKE,75.88328902001649
2.2364821434020996,1645,STRIKE,78.16879284381865
2.2857463359832764,1645,STRIKE,80.45203227591963
2.336185932159424,1645,STRIKE,82.74560577014707
2.3853745460510254,1645,STRIKE,85.09390206381958
2.4344942569732666,1645,STRIKE,87.38395687094273
2.484745979309082,1645,STRIKE,89.67080378982254
2.535153388977051,1609,STRIKE,92.01035331555131
2.593472719192505,1609,STRIKE,94.30579262184645
2.643662452697754,1609,STRIKE,96.9615228760917
2.6938114166259766,1609,STRIKE,99.24704970278829
2.7439589500427246,1609,STRIKE,101.53071997525556
2.793299436569214,1609,STRIKE,103.81432510546918
2.843482732772827,1609,STRIKE,106.06117914757638
2.893702268600464,1677,STRIKE,108.34641283413148
2.9439666271209717,1677,STRIKE,110.72994570912054
2.993262529373169,1677,STRIKE,113.11560597059861
3.0433807373046875,1677,STRIKE,115.45530110485149
3.0935921669006348,1677,STRIKE,117.83402472846913
3.1438004970550537,1677,STRIKE,120.21717286334848
3.1939172744750977,1677,STRIKE,122.60017389171529
3.2429516315460205,1752,STRIKE,124.97882962001945
3.2920081615448,1752,STRIKE,127.41019358949842
3.3413193225860596,1752,STRIKE,129.84265700151337
3.3915326595306396,1752,STRIKE,132.2877462697479
3.441708564758301,1752,STRIKE,134.77756984503765
3.4910595417022705,1752,STRIKE,137.26553737217526
3.541379928588867,1752,STRIKE,139.71260090818944
3.591555118560791,1764,STRIKE,142.20773254475503
3.6515119075775146,1764,STRIKE,144.71270523656088
3.7017056941986084,1764,STRIKE,147.70601964671656
3.75102162361145,1764,STRIKE,150.2119207674602
3.8013694286346436,1764,STRIKE,152.67399528116547
3.8515965938568115,1764,STRIKE,155.18758569798376
3.900852680206299,1764,STRIKE,157.69515322964142
3.9512619972229004,1754,STRIKE,160.15424010663656
4.001483917236328,1754,STRIKE,162.6566346928758
4.050602436065674,1754,STRIKE,165.14972660901407
4.099757432937622,1754,STRIKE,167.58804402486328
4.150208950042725,1754,STRIKE,170.02817226580848
4.199434041976929,1754,STRIKE,172.53266172813915
4.248589515686035,1754,STRIKE,174.9762695937786
4.298906326293945,1761,STRIKE,177.41642150564007
4.349310636520386,1761,STRIKE,179.92419235886263
4.398486852645874,1761,STRIKE,182.436324160054
4.448753595352173,1761,STRIKE,184.88724821468566
4.499182939529419,1761,STRIKE,187.39252370258544
4.548413276672363,1761,STRIKE,189.9059031864382
4.598644495010376,1761,STRIKE,192.35952461215683
4.648981094360352,599,STRIKE,194.86302957894665
4.707624435424805,599,STRIKE,195.71637740000236
4.757839202880859,599,STRIKE,196.71054800276482
4.807956218719482,599,STRIKE,197.56183042841133
4.8580567836761475,599,STRIKE,198.41145568748686
4.907335996627808,599,STRIKE,199.2608020575541
4.9575886726379395,599,STRIKE,200.09622418655533
5.007963180541992,370,STRIKE,200.9481492694818
5.057317018508911,370,STRIKE,201.47565590885443
5.107537746429443,370,STRIKE,201.99247440077218
5.157748222351074,370,STRIKE,202.51837070258154
5.207129001617432,370,STRIKE,203.04415964855332
5.257436037063599,370,STRIKE,203.56126026162556
5.307706117630005,370,STRIKE,204.08806034978826
5.357858180999756,0,STRIKE,204.6144734576063
5.407235145568848,0,STRIKE,204.6144734576063
5.4574854373931885,0,STRIKE,204.6144734576063
5.50775408744812,0,STRIKE,204.6144734576063
5.557143449783325,0,STRIKE,204.6144734576063
5.926915407180786,0,RETRACT,204.6144734576063
5.97829794883728,0,RETRACT,204.6144734576063
6.028375148773193,0,RETRACT,204.6144734576063
6.078475475311279,0,RETRACT,204.6144734576063
6.127534866333008,0,RETRACT,204.6144734576063
6.176648855209351,0,RETRACT,204.6144734576063
6.226968288421631,0,RETRACT,204.6144734576063
6.277112245559692,1035,RETRACT,204.6144734576063
6.327350854873657,1035,RETRACT,203.14563395842063
6.376441717147827,1035,RETRACT,201.67402186483704
6.425587892532349,1035,RETRACT,200.23603009727762
6.475803375244141,1035,RETRACT,198.79641807304233
6.525963306427002,1035,RETRACT,197.325483414362
6.575268030166626,1035,RETRACT,195.85617599622253
6.624433755874634,2421,RETRACT,194.4119197017741
6.674643278121948,2421,RETRACT,191.04313983557353
6.724861145019531,2421,RETRACT,187.6028402121561
6.774150609970093,2421,RETRACT,184.1619688227491
6.823221683502197,2421,RETRACT,180.7847104837309
6.872443914413452,2421,RETRACT,177.42241607746982
6.922755241394043,1775,RETRACT,174.04976453871092
7.007362365722656,1775,RETRACT,171.52233231067652
7.057497262954712,1775,RETRACT,167.272021583791
7.107639789581299,1775,RETRACT,164.75345245397313
7.156971216201782,1775,RETRACT,162.23450005504316
7.206323862075806,1775,RETRACT,159.75629395358962
7.256533861160278,1775,RETRACT,157.27702188491816
7.306852579116821,1771,RETRACT,154.75467994977836
7.356204509735107,1771,RETRACT,152.23257288842825
7.406392574310303,1771,RETRACT,149.75892376224942
7.456546068191528,1771,RETRACT,147.2433653934946
7.50665020942688,1771,RETRACT,144.72953979924034
7.555880784988403,1771,RETRACT,142.21818788996276
7.605953693389893,1771,RETRACT,139.75062139978942
7.656002521514893,1773,RETRACT,137.24083496264686
7.706054925918579,1773,RETRACT,134.72942254003482
7.7561070919036865,1773,RETRACT,132.21783066245737
7.8061652183532715,1773,RETRACT,129.7062507485443
7.856171607971191,1773,RETRACT,127.1943717430222
7.906334161758423,1773,RETRACT,124.6850888526664
7.955482482910156,1773,RETRACT,122.16796976215429
8.00577187538147,1743,RETRACT,119.70174409983287
8.067237138748169,1743,RETRACT,117.22095888065836
8.116777658462524,1743,RETRACT,114.18886584155959
8.167022705078125,1743,RETRACT,111.74502265678257
8.216309309005737,1743,RETRACT,109.26642502703751
8.26653790473938,1743,RETRACT,106.83510755592917
8.316868543624878,1743,RETRACT,104.35732145129505
8.36622428894043,1688,RETRACT,101.87450153872648
8.416441679000854,1688,RETRACT,99.51660064931181
8.466649055480957,1688,RETRACT,97.11753590151945
8.515964984893799,1688,RETRACT,94.71894953835681
8.565273523330688,1688,RETRACT,92.36295079735086
8.615487813949585,1688,RETRACT,90.00730514976209
8.665801525115967,1688,RETRACT,87.60838847340273
8.715215921401978,1650,RETRACT,85.20472212107671
8.765502452850342,1650,RETRACT,82.89716304922999
8.814697265625,1650,RETRACT,80.5488769108394
8.864115953445435,1650,RETRACT,78.25157197466432
8.914445877075195,1650,RETRACT,75.94381249625722
8.963695526123047,1650,RETRACT,73.59350002486745
9.012964487075806,1650,RETRACT,71.29363433819891
9.062542200088501,1668,RETRACT,68.99286682200876
9.1198890209198,1668,RETRACT,66.65242459639059
9.170076608657837,1668,RETRACT,63.94522184695833
9.22022819519043,1668,RETRACT,61.575988931475905
9.269445419311523,1668,RETRACT,59.208455544597655
9.318597555160522,1668,RETRACT,56.885031115333945
9.368857860565186,1668,RETRACT,54.56467934374535
9.419187068939209,1671,RETRACT,52.19201360558559
9.468432426452637,1671,RETRACT,49.811821892576354
9.518648386001587,1671,RETRACT,47.4828881452668
9.568916320800781,1671,RETRACT,45.10805224697541
9.618248462677002,1671,RETRACT,42.73075831161351
9.66748833656311,1671,RETRACT,40.39772031892017
9.71772027015686,1671,RETRACT,38.06904590579695
9.767847299575806,1640,RETRACT,35.693454555745355
9.817203283309937,1640,RETRACT,33.366803756299966
9.86748456954956,1640,RETRACT,31.0759411150554
9.917698860168457,1640,RETRACT,28.74213047072568
9.966967344284058,1640,RETRACT,26.411429434452373
10.334221839904785,1699,STRIKE,24.124628096256572
10.384543657302856,1699,STRIKE,41.784025871528726
10.43359923362732,1699,STRIKE,44.20374571377372
10.482658863067627,1699,STRIKE,46.56257847345096
10.531702995300293,1699,STRIKE,48.921606126821224
10.581795930862427,1699,STRIKE,51.279888598424044
10.631902694702148,1699,STRIKE,53.68860267918061
10.681951999664307,959,STRIKE,56.09798169136044
10.732010841369629,959,STRIKE,57.45639537415411
10.782115936279297,959,STRIKE,58.81506789855234
10.832230806350708,959,STRIKE,60.17499580473267
10.881274223327637,959,STRIKE,61.53518902355766
10.930269479751587,959,STRIKE,62.86630138811072
10.979269742965698,959,STRIKE,64.19610660256076
11.028275728225708,1753,STRIKE,65.5260477088532
11.07726764678955,1753,STRIKE,67.95739182661161
11.126297950744629,1753,STRIKE,70.38803805045359
11.176352500915527,1753,STRIKE,72.8205886966777
11.226496696472168,1753,STRIKE,75.30395548298671
11.276597738265991,1753,STRIKE,77.7917698644242
11.32686734199524,1690,STRIKE,80.27744324927058
11.412755966186523,1690,STRIKE,82.6818478804714
11.462303876876831,1690,STRIKE,86.78991698094131
11.512567043304443,1690,STRIKE,89.15980289792113
11.562724351882935,1690,STRIKE,91.56389963177013
