elapsed_s,rpm,state,crank_deg
0.49119091033935547,597,STRIKE,0.0
0.541388988494873,597,STRIKE,8.299272834130054
0.6009037494659424,597,STRIKE,9.14743092824828
0.649954080581665,597,STRIKE,10.153005804655688
0.6991186141967773,597,STRIKE,10.981771304922285
0.7492580413818359,597,STRIKE,11.812466396475738
0.7996294498443604,597,STRIKE,12.659633510517624
0.8487861156463623,842,STRIKE,13.510720232747635
0.8980495929718018,842,STRIKE,14.682132853651947
0.9484455585479736,842,STRIKE,15.85609081331289
0.998577356338501,842,STRIKE,17.057036181665815
1.047731876373291,842,STRIKE,18.251686381843854
1.0980017185211182,842,STRIKE,19.423047868710643
1.148214340209961,842,STRIKE,20.62098769196924
1.1975128650665283,1523,STRIKE,21.817563940893926
1.2466754913330078,1523,STRIKE,23.94251639438125
1.2968933582305908,1523,STRIKE,26.06161110581092
1.3473398685455322,1523,STRIKE,28.226190670481266
1.3965632915496826,1523,STRIKE,30.40062562924511
1.44673752784729,1523,STRIKE,32.52234090949005
1.4968624114990234,1523,STRIKE,34.68503983065767
1.5471174716949463,1676,STRIKE,36.84561146655173
1.596419095993042,1676,STRIKE,39.22940809546777
1.6575212478637695,1676,STRIKE,41.567979481984985
1.707693099975586,1676,STRIKE,44.46629664807949
1.7578392028808594,1676,STRIKE,46.84614638787395
1.8071093559265137,1676,STRIKE,49.22477474077692
1.8564600944519043,1676,STRIKE,51.56185332109343
1.9066779613494873,1757,STRIKE,53.90275439001479
1.95688796043396,1757,STRIKE,56.3999088845163
2.0060489177703857,1757,STRIKE,58.8966721408772
2.0564398765563965,1757,STRIKE,61.34127031182343
2.1066346168518066,1757,STRIKE,63.84703204541836
2.1568377017974854,1757,STRIKE,66.3430365369005
2.2061045169830322,1757,STRIKE,68.83945597792571
2.256463050842285,1749,STRIKE,71.28931808021832
2.306680679321289,1749,STRIKE,73.78206550625134
2.355938196182251,1749,STRIKE,76.26783811596204
2.40636944770813,1749,STRIKE,78.70608520057965
2.456637382507324,1749,STRIKE,81.20243215111066
2.505803346633911,1749,STRIKE,83.69069492367078
2.556154727935791,1749,STRIKE,86.12441014793683
2.6065495014190674,1750,STRIKE,88.61680352237988
2.6556873321533203,1750,STRIKE,91.11277107697612
2.7140583992004395,1750,STRIKE,93.5464843916443
2.764207601547241,1750,STRIKE,96.43750422180821
2.8135032653808594,1750,STRIKE,98.92130905502245
2.862675189971924,1750,STRIKE,101.36283957508373
